hour_of_year,demand_wh,wind_speed_ms,egen_wh,deficit_wh,generator_output_wh
8356,307008.2956918902,5.6403514495379055,440589.62615689804,0.0,0.0
8357,327038.9890615744,6.2307668573959925,604522.3763032969,0.0,0.0
8358,354039.1075772013,6.620189785983242,725152.982720662,0.0,0.0
8359,402411.4047989312,6.7960582053452265,785370.3295102055,0.0,0.0
8360,386922.9367294972,7.147795044069194,913017.4212398686,0.0,0.0
8361,396807.9230796879,6.6453138458920975,733755.4608334542,0.0,0.0
8362,439389.8862374266,5.539855209902486,413817.4279180222,25572.458319404395,25572.458319404395
8363,449671.5040548439,3.354061997832117,54357.45580922631,395314.0482456176,395314.0482456176
8364,434362.3689908786,1.8968665231185382,0.0,434362.3689908786,434362.3689908786
8365,381056.3143206325,1.8717424632096833,0.0,381056.3143206325,381056.3143206325
8366,393168.8287089786,2.512405990885481,575.6379770863184,392593.1907318923,392593.1907318923
8367,368075.0890604088,2.66315035033861,7570.176255711505,360504.9128046973,360504.9128046973
8368,387076.83211140736,2.173231182115941,0.0,387076.83211140736,387076.83211140736
8369,439106.1498495731,1.2813270553515954,0.0,439106.1498495731,439106.1498495731
8370,516774.3733673225,1.5702537443034257,0.0,516774.3733673225,516774.3733673225
8371,467740.0314465808,3.2284416982878428,43302.86944933016,424437.16199725063,424437.16199725063
8372,456315.7065966903,4.7861334126368416,252990.7344649599,203324.97213173038,203324.97213173038
8373,439495.0232415273,5.866467988717598,500827.072194368,0.0,0.0
8374,372801.0712562004,6.24332888735042,608230.6875458439,0.0,0.0
8375,314362.90161563666,6.281014977213703,619355.621273485,0.0,0.0
8376,295462.6003126073,6.268452947259275,615647.3100309381,0.0,0.0
8377,295734.89055030094,6.255890917304848,611938.9987883911,0.0,0.0
8378,312785.0924072216,6.255890917304848,611938.9987883911,0.0,0.0
8379,304957.88524533826,6.3438251269858394,637897.1774862198,0.0,0.0
8380,308994.37804442947,6.3815112168491215,649022.1112138606,0.0,0.0
8381,341568.1071758869,6.444321366621258,667563.6674265955,0.0,0.0
8382,355478.839202581,6.5322555763022505,695044.3093258906,0.0,0.0
8383,406051.7653728385,6.6453138458920975,733755.4608334542,0.0,0.0
8384,374035.2283649401,7.461845792929879,1035874.0741941688,0.0,0.0
8385,354489.3721362608,7.323663463431177,981817.1468942764,0.0,0.0
8386,393555.34014076943,7.474407822884306,1040788.3403123403,0.0,0.0
8387,436015.8791436497,6.9216785048895,828382.7200741648,0.0,0.0
8388,456783.3821568247,6.130270617760574,574855.8863629213,0.0,0.0
8389,374292.3292621053,5.3011766407683645,358981.6849068843,15310.644355221011,15310.644355221011
8390,355268.918350904,4.735885292819131,243825.47741020954,111443.44094069448,111443.44094069448
8391,397374.0416319173,4.5223307835938655,204873.13492752108,192500.9067043962,192500.9067043962
8392,358728.897252265,4.283652214459745,168434.37128317787,190294.52596908715,190294.52596908715
8393,476149.19320029614,3.96960146559906,122425.13235444948,353724.06084584666,353724.06084584666
8394,491586.7324813092,4.861505592363406,266738.6200470852,224848.112434224,224848.112434224
8395,460905.33540389576,5.577541299765769,423857.0022576008,37048.33314629499,37048.33314629499
8396,408543.1590891336,6.155394677669429,582272.5088480155,0.0,0.0
8397,451777.0311812593,6.519693546347824,690743.070269495,0.0,0.0
8398,388881.85888077295,6.569941666165533,707948.0264950787,0.0,0.0
8399,333213.42017584376,6.482007456484541,678688.6011542365,0.0,0.0
8400,299902.5418803037,6.444321366621258,667563.6674265955,0.0,0.0
8401,299708.34739972115,6.406635276757976,656438.7336989546,0.0,0.0
8402,328144.96462645504,6.356387156940267,641605.4887287668,0.0,0.0
8403,320383.9255811616,6.3438251269858394,637897.1774862198,0.0,0.0
