hour_of_year,demand_wh,wind_speed_ms,egen_wh,delta_e_wh,block_id,battery_soc_wh
4270,474001.0035254703,7.397645780163584,505379.514599997,31378.5110745267,436,97642660.38436018
4271,417931.2811418756,7.432540335730394,512204.889668865,94273.60852698941,436,97736933.99288717
4272,456843.1500962093,7.1882784467627285,464427.26418678975,7584.114090580435,436,97744518.10697775
4273,449269.4405264816,7.0835947800623,443951.13898018585,-5318.3015462957555,437,97739199.80543146
4274,438742.2650561447,7.292962113463156,484903.38939339336,46161.12433724868,438,97785360.92976871
4275,350699.3210849957,7.990853224799343,633584.0507457752,282884.7296607795,438,98000000.0
4276,359127.9880606207,7.2580675578963465,478078.0143245254,118950.0262639047,438,98000000.0
4277,354601.7253237783,6.176336335325257,294227.24309400795,-60374.482229770336,439,97939625.51777023
4278,417453.5776109463,6.874227446661443,406067.7388684391,-11385.838742507214,439,97928239.67902772
4279,343066.29676799657,7.292962113463156,484903.38939339336,141837.0926253968,440,98000000.0
4280,362697.12294145976,7.67680222469806,564367.2103234524,201670.0873819926,440,98000000.0
4281,406652.1771273496,8.060642335932963,648334.8905459222,241682.71341857262,440,98000000.0
4282,417573.8512954562,8.270009669333819,692302.030560102,274728.1792646458,440,98000000.0
4283,540604.6137689505,7.502329446864012,525913.4100888282,-14691.203680122271,441,97985308.79631987
4284,481745.63165276055,7.7814858913984875,587439.4904642267,105693.85881146614,442,98000000.0
4285,380031.2258318079,7.955958669232534,625893.2906988506,245862.06486704276,442,98000000.0
4286,1310707.528015305,8.13043144706658,662990.6038839819,-647716.9241313231,443,97352283.07586868
4287,633832.6561653238,8.13043144706658,662990.6038839819,29157.947718658135,444,97381441.02358735
4288,416437.5534806744,8.200220558200199,677646.3172220417,261208.76374136726,444,97642649.78732872
4289,451367.4419631577,8.095536891499771,655662.7472149519,204295.30525179423,444,97846945.09258051
4290,485578.9795576943,8.72363889170234,782733.5671967207,297154.58763902646,444,98000000.0
4291,537648.3151320693,8.339798780467437,706957.7438981617,169309.4287660924,444,98000000.0
4292,523215.8071128345,7.746591335831678,579748.7304173018,56532.92330446729,444,98000000.0
4293,499034.2059551686,7.432540335730394,512204.889668865,13170.683713696431,444,98000000.0
4294,424216.0393635492,8.13043144706658,662990.6038839819,238774.56452043273,444,98000000.0
4295,484916.3111154519,6.839332891094635,400093.79095540155,-84822.52016005036,445,97915177.47983995
4296,452677.7573744069,7.153383891195919,457601.8891179217,4924.131743514794,446,97920101.61158347
4297,314814.7999832731,7.467434891297203,519030.2647377329,204215.4647544598,446,98000000.0
